_->entity.player.death,entity.player.big_fall,entity.player.small_fall,entity.player.hurt,entity.player.splash,entity.player.swim

BAT->entity.bat.death,,,entity.bat.hurt,,

BLAZE->entity.blaze.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.blaze.hurt,entity.hostile.splash,entity.hostile.swim

CAVE_SPIDER->entity.spider.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.spider.hurt,entity.hostile.splash,entity.hostile.swim

CHICKEN->entity.chicken.death,,,entity.chicken.hurt,entity.generic.splash,entity.generic.swim

COW->entity.cow.death,entity.generic.big_fall,entity.generic.small_fall,entity.cow.hurt,entity.generic.splash,entity.generic.swim

CREEPER->entity.creeper.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.creeper.hurt,entity.hostile.splash,entity.hostile.swim

DONKEY->entity.donkey.death,entity.generic.big_fall,entity.generic.small_fall,entity.donkey.hurt,entity.generic.splash,entity.generic.swim

ELDER_GUARDIAN->entity.elder_guardian.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.elder_guardian.hurt,entity.hostile.splash,entity.hostile.swim

ENDER_DRAGON->entity.enderdragon.death,,,entity.enderdragon.hurt,,

ENDERMAN->entity.endermen.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.endermen.hurt,entity.hostile.splash,entity.hostile.swim

ENDERMITE->entity.endermite.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.endermite.hurt,entity.hostile.splash,entity.hostile.swim

EVOKER->entity.evocation_illager.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.evocation_illager.hurt,entity.hostile.splash,entity.hostile.swim

GHAST->entity.ghast.death,,,entity.ghast.hurt,,

GIANT->entity.hostile.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.hostile.hurt,entity.hostile.splash,entity.hostile.swim

GUARDIAN->entity.guardian.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.guardian.hurt,entity.hostile.splash,entity.hostile.swim

HORSE->entity.horse.death,entity.generic.big_fall,entity.generic.small_fall,entity.horse.hurt,entity.generic.splash,entity.generic.swim

HUSK->entity.husk.death,entity.hostile.big_fall,entity.hostile.small_fall,entity.husk.hurt,entity.hostile.splash,entity.hostile.swim

IRON_GOLEM->entity.irongolem.death,entity.generic.big_fall,entity.generic.small_fall,entity.irongolem.hurt,entity.generic.splash,entity.generic.swim

LLAMA->entity.llama.death,entity.generic.big_fall,entity.generic.small_fall,entity.llama.hurt,entity.generic.splash,entity.generic.swim

MAGMA_CUBE->entity.generic.big_fall,entity.generic.small_fall,entity.generic.splash,entity.generic.swim,entity.magmacube.death,entity.small_magmacube.death,entity.magmacube.hurt,entity.small_magmacube.hurt

MULE->entity.donkey.death,entity.generic.big_fall,entity.generic.small_fall,entity.donkey.hurt,entity.generic.splash,entity.generic.swim

