_->game.player.die,game.player.hurt.fall.big,game.player.hurt.fall.small,game.player.hurt,game.player.swim.splash,game.player.swim

BAT->mob.bat.death,,,mob.bat.hurt,,

BLAZE->mob.blaze.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.blaze.hit,game.hostile.swim.splash,game.hostile.swim

CAVE_SPIDER->mob.spider.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.spider.say,game.hostile.swim.splash,game.hostile.swim

CHICKEN->mob.chicken.hurt,,,mob.chicken.hurt,game.neutral.swim.splash,game.neutral.swim

COW->mob.cow.hurt,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.cow.hurt,game.neutral.swim.splash,game.neutral.swim

CREEPER->mob.creeper.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.creeper.say,game.hostile.swim.splash,game.hostile.swim

DONKEY->mob.horse.donkey.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.horse.donkey.hit,game.neutral.swim.splash,game.neutral.swim

ELDER_GUARDIAN->mob.guardian.elder.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.guardian.elder.hit,game.hostile.swim.splash,game.hostile.swim

ENDER_DRAGON->mob.enderdragon.end,,,mob.enderdragon.hit,,

ENDERMAN->mob.endermen.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.endermen.hit,game.hostile.swim.splash,game.hostile.swim

ENDERMITE->mob.silverfish.kill,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.silverfish.hit,game.hostile.swim.splash,game.hostile.swim

GHAST->mob.ghast.death,,,mob.ghast.scream,,

GIANT->game.hostile.die,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,game.hostile.hurt,game.hostile.swim.splash,game.hostile.swim

GUARDIAN->mob.guardian.death,game.hostile.hurt.fall.big,game.hostile.hurt.fall.small,mob.guardian.hit,game.hostile.swim.splash,game.hostile.swim

HORSE->mob.horse.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.horse.hit,game.neutral.swim.splash,game.neutral.swim

IRON_GOLEM->mob.irongolem.death,game.neutral.hurt.fall.big,game.neutral.hurt.fall.small,mob.irongolem.hit,game.neutral.swim.splash,game.neutral.swim

